"userID","placeID","rating","food_rating","service_rating","latitude","longitude","smoker","drink_level","dress_preference","ambience","transport","marital_status","hijos","birth_year","interest","personality","religion","activity","color","weight","budget","height"
"U1001",135045,1,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135033,1,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135025,2,2,2,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135085,0,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135039,1,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",132825,2,2,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",132830,1,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135051,1,1,2,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1001",135040,1,1,1,22.139997,-100.978803,"false","abstemious","informal","family","on foot","single","independent",1989,"variety","thrifty-protector","none","student","black",69,"medium",1.77
"U1002",135085,1,1,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",135059,1,2,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",135062,1,2,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",135106,1,1,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",132925,1,1,2,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",135052,1,1,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",132921,2,1,1,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",132825,2,2,0,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",132862,2,2,2,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1002",135041,2,1,0,22.150087,-100.983325,"false","abstemious","informal","family","public","single","independent",1990,"technology","hunter-ostentatious","Catholic","student","red",40,"low",1.87
"U1003",132825,2,2,1,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132922,2,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135064,0,0,0,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132755,2,2,1,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135041,0,1,1,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132754,2,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135059,2,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132937,2,2,1,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135075,2,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135080,2,1,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",135079,2,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132723,2,2,1,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1003",132862,1,2,2,22.119847,-100.946527,"false","social drinker","formal","family","public","single","independent",1989,"none","hard-worker","Catholic","student","blue",60,"low",1.69
"U1004",135060,1,1,1,18.867,-99.183,"false","abstemious","informal","family","public","single","independent",1940,"variety","hard-worker","none","professional","green",44,"medium",1.53
